episode,reward,length,loss,epsilon
592,219,220,0.00767107,0.01
593,206,207,0.00960637,0.01
594,200,201,0.00700386,0.01
595,202,203,0.00762943,0.01
596,202,203,0.00537095,0.01
597,212,213,0.00445823,0.01
598,194,195,0.00759806,0.01
599,222,223,0.0053932,0.01
600,209,210,0.00710612,0.01
601,181,182,0.00613051,0.01
602,221,222,0.00538533,0.01
603,218,219,0.00534717,0.01
604,217,218,0.00514885,0.01
605,250,251,0.00475395,0.01
606,232,233,0.00527384,0.01
607,185,186,0.006067,0.01
608,280,281,0.00801208,0.01
609,176,177,0.00512344,0.01
610,228,229,0.00623995,0.01
611,209,210,0.00428959,0.01
612,215,216,0.00489071,0.01
613,212,213,0.00519754,0.01
614,249,250,0.00621717,0.01
615,213,214,0.00397243,0.01
616,227,228,0.00578639,0.01
617,221,222,0.00641936,0.01
618,222,223,0.00627869,0.01
619,232,233,0.00827025,0.01
620,204,205,0.00466501,0.01
621,221,222,0.00499815,0.01
622,239,240,0.00477898,0.01
623,213,214,0.00427569,0.01
624,210,211,0.00591279,0.01
625,204,205,0.00488567,0.01
626,226,227,0.00879638,0.01
627,283,284,0.00634471,0.01
628,284,285,0.00519881,0.01
629,229,230,0.00596134,0.01
630,217,218,0.00564204,0.01
631,237,238,0.00439422,0.01
632,195,196,0.0062244,0.01
633,334,335,0.00446418,0.01
634,248,249,0.00471517,0.01
635,208,209,0.00409943,0.01
636,263,264,0.0157309,0.01
637,289,290,0.003558,0.01
638,291,292,0.00453575,0.01
639,239,240,0.00385472,0.01
640,469,470,0.00467418,0.01
641,230,231,0.00496017,0.01
642,360,361,0.00542391,0.01
643,235,236,0.00648006,0.01
644,259,260,0.0556712,0.01
645,263,264,0.0495762,0.01
646,222,223,0.0446798,0.01
647,306,307,0.0519574,0.01
648,238,239,0.00585529,0.01
649,256,257,0.00555313,0.01
650,263,264,0.105334,0.01
651,257,258,0.0370122,0.01
652,237,238,0.0051463,0.01
653,223,224,0.100217,0.01
654,256,257,0.026554,0.01
655,241,242,0.042541,0.01
656,281,282,0.0521729,0.01
657,228,229,0.0156787,0.01
658,306,307,0.0153089,0.01
659,283,284,0.0166194,0.01
660,261,262,0.0084644,0.01
661,338,339,0.0338464,0.01
662,235,236,0.0389108,0.01
663,323,324,0.0437691,0.01
664,255,256,0.0301304,0.01
665,237,238,0.00739459,0.01
666,320,321,0.0135312,0.01
667,328,329,0.0306505,0.01
668,299,300,0.0101161,0.01
669,244,245,0.00727725,0.01
670,297,298,0.026025,0.01
671,246,247,0.00880491,0.01
672,272,273,0.00763139,0.01
673,289,290,0.00982508,0.01
674,273,274,0.0441245,0.01
675,309,310,0.0102236,0.01
676,361,362,0.00852055,0.01
677,348,349,0.0147636,0.01
678,340,341,0.00931475,0.01
679,316,317,0.00877426,0.01
680,309,310,0.0636661,0.01
681,299,300,0.020178,0.01
682,343,344,0.0249407,0.01
683,323,324,0.0139476,0.01
684,387,388,0.0487148,0.01
685,357,358,0.00866934,0.01
686,346,347,0.027607,0.01
687,362,363,0.0175958,0.01
688,375,376,0.0303567,0.01
689,350,351,0.0122781,0.01
690,397,398,0.0133057,0.01
691,452,453,0.0475287,0.01
692,359,360,0.0253128,0.01
693,417,418,0.0139316,0.01
694,421,422,0.0397887,0.01
695,467,468,0.0219715,0.01
696,417,418,0.0439067,0.01
697,500,500,0.0249523,0.01
698,500,500,0.079331,0.01
699,61,62,0.0172941,0.01
700,363,364,0.750162,0.01
701,315,316,0.809066,0.01
702,19,20,0.0807291,0.01
703,243,244,0.881173,0.01
704,237,238,0.145336,0.01
705,190,191,0.22564,0.01
706,338,339,0.125261,0.01
707,166,167,2.76517,0.01
708,38,39,0.344881,0.01
709,67,68,0.0342192,0.01
710,18,19,9.94963,0.01
711,67,68,0.082106,0.01
712,21,22,0.248196,0.01
713,22,23,0.318546,0.01
714,44,45,4.57876,0.01
715,83,84,4.07551,0.01
716,29,30,7.15791,0.01
717,135,136,3.30172,0.01
718,75,76,2.47927,0.01
719,51,52,5.84932,0.01
720,36,37,11.6847,0.01
721,60,61,11.2324,0.01
722,80,81,8.79567,0.01
723,42,43,9.36423,0.01
724,33,34,5.00884,0.01
725,66,67,0.577143,0.01
726,23,24,0.139134,0.01
