episode,reward,length,loss,epsilon
461,188,189,0.00793512,0.01
462,181,182,0.077637,0.01
463,212,213,0.00791679,0.01
464,203,204,0.0731232,0.01
465,167,168,0.0105999,0.01
466,181,182,0.0687692,0.01
467,258,259,0.0598569,0.01
468,170,171,0.0736801,0.01
469,170,171,0.00786632,0.01
470,184,185,0.00903154,0.01
471,184,185,0.0109321,0.01
472,209,210,0.0565592,0.01
473,208,209,0.00640411,0.01
474,184,185,0.00747675,0.01
475,229,230,0.00725385,0.01
476,182,183,0.0089749,0.01
477,196,197,0.00734403,0.01
478,170,171,0.00784766,0.01
479,161,162,0.00760079,0.01
480,145,146,0.0104911,0.01
481,198,199,0.00984123,0.01
482,175,176,0.0689046,0.01
483,162,163,0.0118925,0.01
484,165,166,0.00661531,0.01
485,234,235,0.00636581,0.01
486,174,175,0.00792143,0.01
487,164,165,0.0085169,0.01
488,256,257,0.00774089,0.01
489,163,164,0.011646,0.01
490,222,223,0.00624965,0.01
491,244,245,0.00764781,0.01
492,163,164,0.00706555,0.01
493,203,204,0.0585422,0.01
494,175,176,0.00835737,0.01
495,190,191,0.0058924,0.01
496,190,191,0.0100392,0.01
497,166,167,0.0630494,0.01
498,174,175,0.0111938,0.01
499,145,146,0.0106732,0.01
500,178,179,0.0515723,0.01
501,181,182,0.00682686,0.01
502,160,161,0.00779711,0.01
503,163,164,0.0520657,0.01
504,168,169,0.0100803,0.01
505,180,181,0.00733545,0.01
506,185,186,0.00810122,0.01
507,159,160,0.00897611,0.01
508,200,201,0.00710188,0.01
509,159,160,0.00953866,0.01
510,278,279,0.0599445,0.01
511,188,189,0.0152701,0.01
512,201,202,0.008537,0.01
513,156,157,0.0596048,0.01
514,209,210,0.0450349,0.01
515,191,192,0.00939248,0.01
516,206,207,0.011203,0.01
517,182,183,0.0545312,0.01
518,150,151,0.0144182,0.01
519,198,199,0.0517523,0.01
520,167,168,0.0493258,0.01
521,160,161,0.0510488,0.01
522,165,166,0.0558721,0.01
523,167,168,0.00839737,0.01
524,169,170,0.0148819,0.01
525,174,175,0.0115464,0.01
526,166,167,0.00703402,0.01
527,163,164,0.00912759,0.01
528,188,189,0.00776213,0.01
529,233,234,0.0149246,0.01
530,205,206,0.0110202,0.01
531,166,167,0.0110504,0.01
532,182,183,0.00995591,0.01
533,164,165,0.0162138,0.01
534,160,161,0.0160842,0.01
535,218,219,0.015973,0.01
536,170,171,0.013679,0.01
537,204,205,0.0141738,0.01
538,161,162,0.018464,0.01
539,179,180,0.0115141,0.01
540,179,180,0.0119,0.01
541,172,173,0.0101796,0.01
542,150,151,0.0161701,0.01
543,168,169,0.00967531,0.01
544,164,165,0.0111736,0.01
545,166,167,0.0158597,0.01
546,182,183,0.0141137,0.01
547,177,178,0.0111092,0.01
548,153,154,0.00800307,0.01
549,149,150,0.0155472,0.01
550,169,170,0.0154666,0.01
551,155,156,0.0272079,0.01
552,217,218,0.00897631,0.01
553,204,205,0.0176868,0.01
554,160,161,0.0158153,0.01
555,145,146,0.0312911,0.01
556,173,174,0.0129263,0.01
557,162,163,0.0238082,0.01
558,190,191,0.0154911,0.01
559,212,213,0.0283543,0.01
560,157,158,0.0218822,0.01
561,166,167,0.0208904,0.01
562,171,172,0.0293142,0.01
563,176,177,0.0195918,0.01
564,193,194,0.0208672,0.01
565,147,148,0.0240328,0.01
566,208,209,0.0213298,0.01
567,160,161,0.0373805,0.01
568,171,172,0.018684,0.01
569,182,183,0.0312144,0.01
570,149,150,0.0311017,0.01
571,157,158,0.0489861,0.01
572,170,171,0.0211852,0.01
573,165,166,0.0329446,0.01
574,170,171,0.028698,0.01
575,156,157,0.0365648,0.01
576,155,156,0.036517,0.01
577,172,173,0.038389,0.01
578,163,164,0.0280391,0.01
579,160,161,0.0243587,0.01
580,163,164,0.0174151,0.01
